milb_id,mlb_id,mlb,war,draft,bats,throws,height,weight,positions,designated,first,second,third,shortstop,catcher,outfielder
mannin001pat,none,0,nan,3.0,right,right,73.0,180.0,"Second Baseman, Third Baseman and Shortstop",0,0,1,1,1,0,0
berthe001dan,none,0,nan,16.0,right,right,75.0,185.0,Outfielder,0,0,0,0,0,0,1
madonn001chr,none,0,nan,nan,left,right,71.0,190.0,"Catcher, Third Baseman and First Baseman",0,1,0,1,0,1,0
madden002cha,none,0,nan,24.0,right,right,75.0,205.0,Catcher,0,0,0,0,0,1,0
mcbrid001cha,none,0,nan,37.0,right,right,70.0,170.0,Outfielder and Third Baseman,0,0,0,1,0,0,1
kahaul001jac,none,0,nan,20.0,right,right,70.0,185.0,Second Baseman and Third Baseman,0,0,1,1,0,0,0
reyes004rob,none,0,nan,nan,both,right,69.0,150.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
castil002jor,none,0,nan,26.0,left,right,74.0,225.0,First Baseman,0,1,0,0,0,0,0
elliso002jos,none,0,nan,11.0,right,right,69.0,199.0,Outfielder,0,0,0,0,0,0,1
witt000tan,none,0,nan,nan,right,right,72.0,195.0,"Second Baseman, Outfielder and Third Baseman",0,0,1,1,0,0,1
micheu001ton,none,0,nan,nan,right,right,70.0,195.0,Catcher,0,0,0,0,0,1,0
hinsha000cha,none,0,nan,15.0,right,right,73.0,205.0,Outfielder,0,0,0,0,0,0,1
duncan001hir,none,0,nan,17.0,right,right,72.0,220.0,Third Baseman and First Baseman,0,1,0,1,0,0,0
kohlwe000tay,none,0,nan,21.0,left,left,75.0,200.0,Outfielder,0,0,0,0,0,0,1
allan001jos,none,0,nan,nan,right,right,72.0,210.0,"Catcher, First Baseman and Outfielder",0,1,0,0,0,1,1
taylor000kev,none,0,nan,36.0,left,right,72.0,197.0,"Outfielder, Second Baseman and Third Baseman",0,0,1,1,0,0,1
trapag002jul,none,0,nan,nan,right,right,74.0,205.0,"Second Baseman, Shortstop and First Baseman",0,1,1,0,1,0,0
fulton001gre,none,0,nan,29.0,both,right,76.0,200.0,"First Baseman, Third Baseman and Outfielder",0,1,0,1,0,0,1
tyrus001jas,none,0,nan,21.0,right,right,74.0,200.0,Outfielder,0,0,0,0,0,0,1
bowers001ray,none,0,nan,11.0,right,right,73.0,210.0,Outfielder,0,0,0,0,0,0,1
richar003jef,richaje01,1,-0.7,7.0,right,right,74.0,175.0,"Shortstop, Second Baseman and Third Baseman",0,0,1,1,1,0,0
quinon001eli,none,0,nan,3.0,right,right,73.0,205.0,Outfielder,0,0,0,0,0,0,1
delane005joh,none,0,nan,25.0,right,right,69.0,180.0,Third Baseman and Outfielder,0,0,0,1,0,0,1
hodges001wes,none,0,nan,2.0,right,right,74.0,205.0,Third Baseman and First Baseman,0,1,0,1,0,0,0
